hash,config,rep,experiment_subdir
193f77a75c,"{""config"": {""instance_level"": {""0"": {""match_policy"": ""first"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64}, ""1"": {""job_request_cores_per_task"": 1, ""job_request_gpus_per_task"": 0, ""job_request_nodes"": 1, ""job_request_ntasks_per_node"": 1, ""job_request_time"": ""30s"", ""match_policy"": ""first"", ""n_jobs"": 500, ""problem_class"": ""B"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64, ""workload"": ""babelstream""}, ""2"": {""job_request_cores_per_task"": 1, ""job_request_gpus_per_task"": 0, ""job_request_nodes"": 1, ""job_request_ntasks_per_node"": 1, ""job_request_time"": ""30s"", ""match_policy"": ""first"", ""n_jobs"": 500, ""problem_class"": ""B"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64, ""workload"": ""babelstream""}}}, ""system"": {""cpu_affinity"": true, ""flux_time_limit"": ""7m"", ""max_cores_per_node"": 112, ""max_gpus_per_node"": 0, ""queue"": ""pbatch"", ""slurm_time_limit"": ""00:07:00"", ""sys_nodes"": 1}}",1,dane/SW_M
193f77a75c,"{""config"": {""instance_level"": {""0"": {""match_policy"": ""first"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64}, ""1"": {""job_request_cores_per_task"": 1, ""job_request_gpus_per_task"": 0, ""job_request_nodes"": 1, ""job_request_ntasks_per_node"": 1, ""job_request_time"": ""30s"", ""match_policy"": ""first"", ""n_jobs"": 500, ""problem_class"": ""B"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64, ""workload"": ""babelstream""}, ""2"": {""job_request_cores_per_task"": 1, ""job_request_gpus_per_task"": 0, ""job_request_nodes"": 1, ""job_request_ntasks_per_node"": 1, ""job_request_time"": ""30s"", ""match_policy"": ""first"", ""n_jobs"": 500, ""problem_class"": ""B"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64, ""workload"": ""babelstream""}}}, ""system"": {""cpu_affinity"": true, ""flux_time_limit"": ""7m"", ""max_cores_per_node"": 112, ""max_gpus_per_node"": 0, ""queue"": ""pbatch"", ""slurm_time_limit"": ""00:07:00"", ""sys_nodes"": 1}}",2,dane/SW_M
193f77a75c,"{""config"": {""instance_level"": {""0"": {""match_policy"": ""first"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64}, ""1"": {""job_request_cores_per_task"": 1, ""job_request_gpus_per_task"": 0, ""job_request_nodes"": 1, ""job_request_ntasks_per_node"": 1, ""job_request_time"": ""30s"", ""match_policy"": ""first"", ""n_jobs"": 500, ""problem_class"": ""B"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64, ""workload"": ""babelstream""}, ""2"": {""job_request_cores_per_task"": 1, ""job_request_gpus_per_task"": 0, ""job_request_nodes"": 1, ""job_request_ntasks_per_node"": 1, ""job_request_time"": ""30s"", ""match_policy"": ""first"", ""n_jobs"": 500, ""problem_class"": ""B"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64, ""workload"": ""babelstream""}}}, ""system"": {""cpu_affinity"": true, ""flux_time_limit"": ""7m"", ""max_cores_per_node"": 112, ""max_gpus_per_node"": 0, ""queue"": ""pbatch"", ""slurm_time_limit"": ""00:07:00"", ""sys_nodes"": 1}}",3,dane/SW_M
193f77a75c,"{""config"": {""instance_level"": {""0"": {""match_policy"": ""first"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64}, ""1"": {""job_request_cores_per_task"": 1, ""job_request_gpus_per_task"": 0, ""job_request_nodes"": 1, ""job_request_ntasks_per_node"": 1, ""job_request_time"": ""30s"", ""match_policy"": ""first"", ""n_jobs"": 500, ""problem_class"": ""B"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64, ""workload"": ""babelstream""}, ""2"": {""job_request_cores_per_task"": 1, ""job_request_gpus_per_task"": 0, ""job_request_nodes"": 1, ""job_request_ntasks_per_node"": 1, ""job_request_time"": ""30s"", ""match_policy"": ""first"", ""n_jobs"": 500, ""problem_class"": ""B"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64, ""workload"": ""babelstream""}}}, ""system"": {""cpu_affinity"": true, ""flux_time_limit"": ""7m"", ""max_cores_per_node"": 112, ""max_gpus_per_node"": 0, ""queue"": ""pbatch"", ""slurm_time_limit"": ""00:07:00"", ""sys_nodes"": 1}}",4,dane/SW_M
193f77a75c,"{""config"": {""instance_level"": {""0"": {""match_policy"": ""first"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64}, ""1"": {""job_request_cores_per_task"": 1, ""job_request_gpus_per_task"": 0, ""job_request_nodes"": 1, ""job_request_ntasks_per_node"": 1, ""job_request_time"": ""30s"", ""match_policy"": ""first"", ""n_jobs"": 500, ""problem_class"": ""B"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64, ""workload"": ""babelstream""}, ""2"": {""job_request_cores_per_task"": 1, ""job_request_gpus_per_task"": 0, ""job_request_nodes"": 1, ""job_request_ntasks_per_node"": 1, ""job_request_time"": ""30s"", ""match_policy"": ""first"", ""n_jobs"": 500, ""problem_class"": ""B"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64, ""workload"": ""babelstream""}}}, ""system"": {""cpu_affinity"": true, ""flux_time_limit"": ""7m"", ""max_cores_per_node"": 112, ""max_gpus_per_node"": 0, ""queue"": ""pbatch"", ""slurm_time_limit"": ""00:07:00"", ""sys_nodes"": 1}}",5,dane/SW_M
1491906f8e,"{""config"": {""instance_level"": {""0"": {""match_policy"": ""first"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64}, ""1"": {""job_request_cores_per_task"": 1, ""job_request_gpus_per_task"": 0, ""job_request_nodes"": 1, ""job_request_ntasks_per_node"": 1, ""job_request_time"": ""30s"", ""match_policy"": ""first"", ""n_jobs"": 500, ""problem_class"": ""B"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64, ""workload"": ""babelstream""}, ""2"": {""job_request_cores_per_task"": 1, ""job_request_gpus_per_task"": 0, ""job_request_nodes"": 1, ""job_request_ntasks_per_node"": 1, ""job_request_time"": ""30s"", ""match_policy"": ""first"", ""n_jobs"": 500, ""problem_class"": ""B"", ""queue_depth"": 32, ""queue_policy"": ""hybrid"", ""reservation_depth"": 64, ""workload"": ""babelstream""}}}, ""system"": {""cpu_affinity"": true, ""flux_time_limit"": ""7m"", ""max_cores_per_node"": 112, ""max_gpus_per_node"": 0, ""queue"": ""pbatch"", ""slurm_time_limit"": ""00:07:00"", ""sys_nodes"": 1}}",1,dane/SW_M
1491906f8e,"{""config"": {""instance_level"": {""0"": {""match_policy"": ""first"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64}, ""1"": {""job_request_cores_per_task"": 1, ""job_request_gpus_per_task"": 0, ""job_request_nodes"": 1, ""job_request_ntasks_per_node"": 1, ""job_request_time"": ""30s"", ""match_policy"": ""first"", ""n_jobs"": 500, ""problem_class"": ""B"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64, ""workload"": ""babelstream""}, ""2"": {""job_request_cores_per_task"": 1, ""job_request_gpus_per_task"": 0, ""job_request_nodes"": 1, ""job_request_ntasks_per_node"": 1, ""job_request_time"": ""30s"", ""match_policy"": ""first"", ""n_jobs"": 500, ""problem_class"": ""B"", ""queue_depth"": 32, ""queue_policy"": ""hybrid"", ""reservation_depth"": 64, ""workload"": ""babelstream""}}}, ""system"": {""cpu_affinity"": true, ""flux_time_limit"": ""7m"", ""max_cores_per_node"": 112, ""max_gpus_per_node"": 0, ""queue"": ""pbatch"", ""slurm_time_limit"": ""00:07:00"", ""sys_nodes"": 1}}",2,dane/SW_M
1491906f8e,"{""config"": {""instance_level"": {""0"": {""match_policy"": ""first"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64}, ""1"": {""job_request_cores_per_task"": 1, ""job_request_gpus_per_task"": 0, ""job_request_nodes"": 1, ""job_request_ntasks_per_node"": 1, ""job_request_time"": ""30s"", ""match_policy"": ""first"", ""n_jobs"": 500, ""problem_class"": ""B"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64, ""workload"": ""babelstream""}, ""2"": {""job_request_cores_per_task"": 1, ""job_request_gpus_per_task"": 0, ""job_request_nodes"": 1, ""job_request_ntasks_per_node"": 1, ""job_request_time"": ""30s"", ""match_policy"": ""first"", ""n_jobs"": 500, ""problem_class"": ""B"", ""queue_depth"": 32, ""queue_policy"": ""hybrid"", ""reservation_depth"": 64, ""workload"": ""babelstream""}}}, ""system"": {""cpu_affinity"": true, ""flux_time_limit"": ""7m"", ""max_cores_per_node"": 112, ""max_gpus_per_node"": 0, ""queue"": ""pbatch"", ""slurm_time_limit"": ""00:07:00"", ""sys_nodes"": 1}}",3,dane/SW_M
1491906f8e,"{""config"": {""instance_level"": {""0"": {""match_policy"": ""first"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64}, ""1"": {""job_request_cores_per_task"": 1, ""job_request_gpus_per_task"": 0, ""job_request_nodes"": 1, ""job_request_ntasks_per_node"": 1, ""job_request_time"": ""30s"", ""match_policy"": ""first"", ""n_jobs"": 500, ""problem_class"": ""B"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64, ""workload"": ""babelstream""}, ""2"": {""job_request_cores_per_task"": 1, ""job_request_gpus_per_task"": 0, ""job_request_nodes"": 1, ""job_request_ntasks_per_node"": 1, ""job_request_time"": ""30s"", ""match_policy"": ""first"", ""n_jobs"": 500, ""problem_class"": ""B"", ""queue_depth"": 32, ""queue_policy"": ""hybrid"", ""reservation_depth"": 64, ""workload"": ""babelstream""}}}, ""system"": {""cpu_affinity"": true, ""flux_time_limit"": ""7m"", ""max_cores_per_node"": 112, ""max_gpus_per_node"": 0, ""queue"": ""pbatch"", ""slurm_time_limit"": ""00:07:00"", ""sys_nodes"": 1}}",4,dane/SW_M
1491906f8e,"{""config"": {""instance_level"": {""0"": {""match_policy"": ""first"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64}, ""1"": {""job_request_cores_per_task"": 1, ""job_request_gpus_per_task"": 0, ""job_request_nodes"": 1, ""job_request_ntasks_per_node"": 1, ""job_request_time"": ""30s"", ""match_policy"": ""first"", ""n_jobs"": 500, ""problem_class"": ""B"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64, ""workload"": ""babelstream""}, ""2"": {""job_request_cores_per_task"": 1, ""job_request_gpus_per_task"": 0, ""job_request_nodes"": 1, ""job_request_ntasks_per_node"": 1, ""job_request_time"": ""30s"", ""match_policy"": ""first"", ""n_jobs"": 500, ""problem_class"": ""B"", ""queue_depth"": 32, ""queue_policy"": ""hybrid"", ""reservation_depth"": 64, ""workload"": ""babelstream""}}}, ""system"": {""cpu_affinity"": true, ""flux_time_limit"": ""7m"", ""max_cores_per_node"": 112, ""max_gpus_per_node"": 0, ""queue"": ""pbatch"", ""slurm_time_limit"": ""00:07:00"", ""sys_nodes"": 1}}",5,dane/SW_M
