hash,config,rep,experiment_subdir
7495ceb938,"{""config"": {""instance_level"": {""0"": {""match_policy"": ""first"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64}, ""1"": {""match_policy"": ""first"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64}, ""2"": {""job_request_cores_per_task"": 24, ""job_request_gpus_per_task"": 1, ""job_request_nodes"": 1, ""job_request_ntasks_per_node"": 1, ""job_request_time"": ""30s"", ""match_policy"": ""first"", ""n_jobs"": 40, ""problem_class"": ""B"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64, ""workload"": ""babelstream""}}}, ""system"": {""cpu_affinity"": true, ""flux_time_limit"": ""6m"", ""max_cores_per_node"": 96, ""max_gpus_per_node"": 4, ""queue"": ""pbatch"", ""slurm_time_limit"": ""00:06:00"", ""sys_nodes"": 1}}",1,tuolumne/SW_C
7495ceb938,"{""config"": {""instance_level"": {""0"": {""match_policy"": ""first"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64}, ""1"": {""match_policy"": ""first"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64}, ""2"": {""job_request_cores_per_task"": 24, ""job_request_gpus_per_task"": 1, ""job_request_nodes"": 1, ""job_request_ntasks_per_node"": 1, ""job_request_time"": ""30s"", ""match_policy"": ""first"", ""n_jobs"": 40, ""problem_class"": ""B"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64, ""workload"": ""babelstream""}}}, ""system"": {""cpu_affinity"": true, ""flux_time_limit"": ""6m"", ""max_cores_per_node"": 96, ""max_gpus_per_node"": 4, ""queue"": ""pbatch"", ""slurm_time_limit"": ""00:06:00"", ""sys_nodes"": 1}}",2,tuolumne/SW_C
7495ceb938,"{""config"": {""instance_level"": {""0"": {""match_policy"": ""first"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64}, ""1"": {""match_policy"": ""first"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64}, ""2"": {""job_request_cores_per_task"": 24, ""job_request_gpus_per_task"": 1, ""job_request_nodes"": 1, ""job_request_ntasks_per_node"": 1, ""job_request_time"": ""30s"", ""match_policy"": ""first"", ""n_jobs"": 40, ""problem_class"": ""B"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64, ""workload"": ""babelstream""}}}, ""system"": {""cpu_affinity"": true, ""flux_time_limit"": ""6m"", ""max_cores_per_node"": 96, ""max_gpus_per_node"": 4, ""queue"": ""pbatch"", ""slurm_time_limit"": ""00:06:00"", ""sys_nodes"": 1}}",3,tuolumne/SW_C
7495ceb938,"{""config"": {""instance_level"": {""0"": {""match_policy"": ""first"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64}, ""1"": {""match_policy"": ""first"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64}, ""2"": {""job_request_cores_per_task"": 24, ""job_request_gpus_per_task"": 1, ""job_request_nodes"": 1, ""job_request_ntasks_per_node"": 1, ""job_request_time"": ""30s"", ""match_policy"": ""first"", ""n_jobs"": 40, ""problem_class"": ""B"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64, ""workload"": ""babelstream""}}}, ""system"": {""cpu_affinity"": true, ""flux_time_limit"": ""6m"", ""max_cores_per_node"": 96, ""max_gpus_per_node"": 4, ""queue"": ""pbatch"", ""slurm_time_limit"": ""00:06:00"", ""sys_nodes"": 1}}",4,tuolumne/SW_C
7495ceb938,"{""config"": {""instance_level"": {""0"": {""match_policy"": ""first"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64}, ""1"": {""match_policy"": ""first"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64}, ""2"": {""job_request_cores_per_task"": 24, ""job_request_gpus_per_task"": 1, ""job_request_nodes"": 1, ""job_request_ntasks_per_node"": 1, ""job_request_time"": ""30s"", ""match_policy"": ""first"", ""n_jobs"": 40, ""problem_class"": ""B"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64, ""workload"": ""babelstream""}}}, ""system"": {""cpu_affinity"": true, ""flux_time_limit"": ""6m"", ""max_cores_per_node"": 96, ""max_gpus_per_node"": 4, ""queue"": ""pbatch"", ""slurm_time_limit"": ""00:06:00"", ""sys_nodes"": 1}}",5,tuolumne/SW_C
302e0d9326,"{""config"": {""instance_level"": {""0"": {""match_policy"": ""first"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64}, ""1"": {""match_policy"": ""first"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64}, ""2"": {""job_request_cores_per_task"": 24, ""job_request_gpus_per_task"": 1, ""job_request_nodes"": 1, ""job_request_ntasks_per_node"": 1, ""job_request_time"": ""30s"", ""match_policy"": ""first"", ""n_jobs"": 40, ""problem_class"": ""B"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64, ""workload"": ""raja-perf%Polybench_GEMM%Base_HIP""}}}, ""system"": {""cpu_affinity"": true, ""flux_time_limit"": ""6m"", ""max_cores_per_node"": 96, ""max_gpus_per_node"": 4, ""queue"": ""pbatch"", ""slurm_time_limit"": ""00:06:00"", ""sys_nodes"": 1}}",1,tuolumne/SW_C
302e0d9326,"{""config"": {""instance_level"": {""0"": {""match_policy"": ""first"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64}, ""1"": {""match_policy"": ""first"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64}, ""2"": {""job_request_cores_per_task"": 24, ""job_request_gpus_per_task"": 1, ""job_request_nodes"": 1, ""job_request_ntasks_per_node"": 1, ""job_request_time"": ""30s"", ""match_policy"": ""first"", ""n_jobs"": 40, ""problem_class"": ""B"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64, ""workload"": ""raja-perf%Polybench_GEMM%Base_HIP""}}}, ""system"": {""cpu_affinity"": true, ""flux_time_limit"": ""6m"", ""max_cores_per_node"": 96, ""max_gpus_per_node"": 4, ""queue"": ""pbatch"", ""slurm_time_limit"": ""00:06:00"", ""sys_nodes"": 1}}",2,tuolumne/SW_C
302e0d9326,"{""config"": {""instance_level"": {""0"": {""match_policy"": ""first"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64}, ""1"": {""match_policy"": ""first"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64}, ""2"": {""job_request_cores_per_task"": 24, ""job_request_gpus_per_task"": 1, ""job_request_nodes"": 1, ""job_request_ntasks_per_node"": 1, ""job_request_time"": ""30s"", ""match_policy"": ""first"", ""n_jobs"": 40, ""problem_class"": ""B"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64, ""workload"": ""raja-perf%Polybench_GEMM%Base_HIP""}}}, ""system"": {""cpu_affinity"": true, ""flux_time_limit"": ""6m"", ""max_cores_per_node"": 96, ""max_gpus_per_node"": 4, ""queue"": ""pbatch"", ""slurm_time_limit"": ""00:06:00"", ""sys_nodes"": 1}}",3,tuolumne/SW_C
302e0d9326,"{""config"": {""instance_level"": {""0"": {""match_policy"": ""first"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64}, ""1"": {""match_policy"": ""first"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64}, ""2"": {""job_request_cores_per_task"": 24, ""job_request_gpus_per_task"": 1, ""job_request_nodes"": 1, ""job_request_ntasks_per_node"": 1, ""job_request_time"": ""30s"", ""match_policy"": ""first"", ""n_jobs"": 40, ""problem_class"": ""B"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64, ""workload"": ""raja-perf%Polybench_GEMM%Base_HIP""}}}, ""system"": {""cpu_affinity"": true, ""flux_time_limit"": ""6m"", ""max_cores_per_node"": 96, ""max_gpus_per_node"": 4, ""queue"": ""pbatch"", ""slurm_time_limit"": ""00:06:00"", ""sys_nodes"": 1}}",4,tuolumne/SW_C
302e0d9326,"{""config"": {""instance_level"": {""0"": {""match_policy"": ""first"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64}, ""1"": {""match_policy"": ""first"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64}, ""2"": {""job_request_cores_per_task"": 24, ""job_request_gpus_per_task"": 1, ""job_request_nodes"": 1, ""job_request_ntasks_per_node"": 1, ""job_request_time"": ""30s"", ""match_policy"": ""first"", ""n_jobs"": 40, ""problem_class"": ""B"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64, ""workload"": ""raja-perf%Polybench_GEMM%Base_HIP""}}}, ""system"": {""cpu_affinity"": true, ""flux_time_limit"": ""6m"", ""max_cores_per_node"": 96, ""max_gpus_per_node"": 4, ""queue"": ""pbatch"", ""slurm_time_limit"": ""00:06:00"", ""sys_nodes"": 1}}",5,tuolumne/SW_C
ee70d8225e,"{""config"": {""instance_level"": {""0"": {""match_policy"": ""first"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64}, ""1"": {""match_policy"": ""first"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64}, ""2"": {""job_request_cores_per_task"": 24, ""job_request_gpus_per_task"": 1, ""job_request_nodes"": 1, ""job_request_ntasks_per_node"": 1, ""job_request_time"": ""30s"", ""match_policy"": ""first"", ""n_jobs"": 40, ""problem_class"": ""B"", ""queue_depth"": 32, ""queue_policy"": ""hybrid"", ""reservation_depth"": 64, ""workload"": ""babelstream""}}}, ""system"": {""cpu_affinity"": true, ""flux_time_limit"": ""6m"", ""max_cores_per_node"": 96, ""max_gpus_per_node"": 4, ""queue"": ""pbatch"", ""slurm_time_limit"": ""00:06:00"", ""sys_nodes"": 1}}",1,tuolumne/SW_C
ee70d8225e,"{""config"": {""instance_level"": {""0"": {""match_policy"": ""first"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64}, ""1"": {""match_policy"": ""first"", ""queue_depth"": 32, ""queue_policy"": ""fcfs"", ""reservation_depth"": 64}, ""2"": {""job_request_cores_per_task"": 24, ""job_request_gpus_per_task"": 1, ""job_request_nodes"": 1, ""job_request_ntasks_per_node"": 1, ""job_request_time"": ""30s"", ""match_policy"": ""first"", ""n_jobs"": 40, ""problem_class"": ""B"", ""queue_depth"": 32, ""queue_policy"": ""hybrid"", ""reservation_depth"": 64, ""workload"": ""babelstream""}}}, ""system"": {""cpu_affinity"": true, ""flux_time_limit"": ""6m"", ""max_cores_per_node"": 96, ""max_gpus_per_node"": 4, ""queue"": ""pbatch"", ""slurm_time_limit"": ""00:06:00"", ""sys_nodes"": 1}}",2,tuolumne/SW_C
